MaKhachHang,TenKhachHang,NhomKH
KH0323,Công ty TNHH Xuất nhập khẩu Phú Gia,VIP
KH0234,Công ty TNHH MTV Thương mại Sao Việt,Thường
KH0278,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Á,VIP
KH0165,Công ty TNHH MTV Xây dựng An Khang,Thường
KH0137,Doanh nghiệp tư nhân Phân phối Đại Dương,Thường
KH0198,Công ty Cổ phần Xây dựng An Khang,Thường
KH0259,Công ty TNHH Xuất nhập khẩu Thành Đạt,Thường
KH0233,Công ty Cổ phần Thương mại Thiên Phú,Mới
KH0116,Công ty TNHH Xuất nhập khẩu Minh Phát,Tiềm năng
KH0121,Công ty Cổ phần Thực phẩm Đại Dương,Thường
KH0225,Công ty TNHH Thương mại Toàn Cầu,Tiềm năng
KH0409,Công ty TNHH MTV Phân phối An Khang,Tiềm năng
KH0302,Công ty TNHH Dịch vụ Tân Á,Mới
KH0128,Lý Công Việt,Thường
KH0437,Bùi Ngọc Hoa,Mới
KH0108,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,VIP
KH0334,Công ty TNHH Thương mại Kim Long,Thường
KH0291,Công ty TNHH MTV Xuất nhập khẩu Toàn Cầu,Mới
KH0134,Võ Thu Hoa,Thân thiết
KH0347,Huỳnh Diễm Hương,Thường
KH0045,Công ty TNHH Dịch vụ Việt Thắng,Mới
KH0415,Lê Minh Nam,VIP
KH0066,Nguyễn Diễm Hương,Mới
KH0284,Vũ Bích Trang,Mới
KH0086,Lý Công Long,VIP
KH0243,Huỳnh Quốc Việt,Thân thiết
KH0187,Công ty Cổ phần Xuất nhập khẩu Việt Thắng,Mới
KH0160,Công ty TNHH Xây dựng Đông Á,Tiềm năng
KH0013,Công ty TNHH MTV Xuất nhập khẩu Tân Phát,VIP
KH0036,Công ty TNHH Dịch vụ Toàn Cầu,Thân thiết
KH0029,Công ty TNHH MTV Dịch vụ Việt Phát,Tiềm năng
KH0171,Doanh nghiệp tư nhân Xây dựng An Khang,Thân thiết
KH0143,Công ty Cổ phần Phân phối Tân Á,VIP
KH0381,Trần Quốc Việt,Mới
KH0404,Công ty TNHH MTV Xây dựng Tân Á,Thường
KH0222,Công ty TNHH MTV Xuất nhập khẩu Hoàng Gia,Tiềm năng
KH0096,Công ty Cổ phần Phân phối Thành Đạt,Thường
KH0052,Đỗ Công Việt,Thường
KH0241,Công ty TNHH Phân phối An Khang,VIP
KH0336,Trần Minh Sơn,Mới
KH0342,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Mới
KH0179,Trần Quốc Sơn,Tiềm năng
KH0042,Đặng Bích Huyền,Mới
KH0369,Doanh nghiệp tư nhân Dịch vụ Phú Gia,VIP
KH0207,Đỗ Hữu Việt,Thường
KH0283,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Mới
KH0255,Công ty TNHH Thương mại Tân Phát,Mới
KH0374,Bùi Xuân Sơn,Tiềm năng
KH0005,Công ty TNHH Xuất nhập khẩu Toàn Cầu,Mới
KH0257,Phan Ngọc Phương,Thân thiết
KH0405,Công ty TNHH Thực phẩm Việt Phát,Thường
KH0101,Vũ Ngọc Khánh,VIP
KH0227,Ngô Văn Sơn,Thân thiết
KH0385,Lý Thị Huyền,VIP
KH0214,Công ty TNHH Dịch vụ Đại Dương,Tiềm năng
KH0172,Lê Thu Phương,Mới
KH0099,Doanh nghiệp tư nhân Dịch vụ Việt Phát,Thường
KH0293,Ngô Thu Hoa,Thường
KH0216,Đặng Kim Phương,VIP
KH0062,Doanh nghiệp tư nhân Dịch vụ Tân Á,Tiềm năng
KH0048,Doanh nghiệp tư nhân Xây dựng Thiên Phú,Thường
KH0033,Trần Diễm Lan,Tiềm năng
KH0268,Công ty TNHH MTV Xây dựng Hoàng Gia,Mới
KH0328,Nguyễn Minh Việt,Tiềm năng
KH0201,Công ty Cổ phần Thực phẩm Thành Đạt,VIP
KH0403,Dương Công Tuấn,Thân thiết
KH0028,Bùi Công Nam,Tiềm năng
KH0353,Lý Xuân Đạt,Tiềm năng
KH0231,Công ty TNHH MTV Dịch vụ Minh Phát,Thân thiết
KH0261,Đặng Xuân Việt,Thân thiết
KH0289,Đỗ Minh Phong,Mới
KH0163,Hoàng Văn Sơn,Tiềm năng
KH0383,Doanh nghiệp tư nhân Xây dựng Minh Phát,Tiềm năng
KH0139,Doanh nghiệp tư nhân Phân phối Hưng Thịnh,Thân thiết
KH0063,Công ty TNHH Xây dựng Tân Á,VIP
KH0136,Công ty TNHH Phân phối Đại Dương,VIP
KH0129,Công ty Cổ phần Thực phẩm Đông Á,VIP
KH0429,Công ty TNHH Dịch vụ Tân Phát,VIP
KH0009,Dương Bích Nga,Thân thiết
KH0327,Công ty TNHH MTV Xây dựng Đại Dương,Mới
KH0418,Phan Ngọc Phong,Thường
KH0065,Đỗ Thu Anh,Thường
KH0301,Doanh nghiệp tư nhân Thực phẩm Thiên Phú,Tiềm năng
KH0015,Doanh nghiệp tư nhân Phân phối Việt Phát,Tiềm năng
KH0157,Công ty TNHH MTV Phân phối Toàn Cầu,Tiềm năng
KH0041,Đỗ Diễm Linh,Thường
KH0428,Phạm Ngọc An,Thường
KH0365,Trần Quốc Hùng,Mới
KH0217,Đặng Hữu Đạt,Tiềm năng
KH0280,Võ Minh Nam,Thường
KH0391,Ngô Ngọc Phong,Mới
KH0338,Lê Văn Sơn,Thân thiết
KH0237,Công ty TNHH MTV Phân phối Tân Á,VIP
KH0208,Trần Ngọc Phong,Mới
KH0213,Vũ Kim Hoa,Thân thiết
KH0296,Công ty TNHH Thực phẩm Đại Dương,Thân thiết
KH0412,Công ty TNHH MTV Xuất nhập khẩu Kim Long,VIP
KH0252,Phan Thị Anh,Mới
KH0440,Đặng Bích Anh,VIP
KH0413,Ngô Kim Linh,Mới
KH0304,Ngô Công Cường,Tiềm năng
KH0351,Công ty TNHH MTV Xây dựng Phú Gia,Thân thiết
KH0270,Võ Ngọc Khánh,Mới
KH0202,Công ty TNHH MTV Xây dựng Đại Dương,Thân thiết
KH0162,Công ty TNHH MTV Thương mại Đông Á,Thân thiết
KH0044,Công ty TNHH MTV Dịch vụ Kim Long,Tiềm năng
KH0218,Bùi Bích Yến,VIP
KH0191,Hoàng Ngọc Dũng,Tiềm năng
KH0310,Vũ Ngọc Tuấn,Tiềm năng
KH0260,Doanh nghiệp tư nhân Thương mại Hoàng Gia,Mới
KH0106,Hoàng Xuân Đạt,Thân thiết
KH0054,Ngô Quốc Dũng,Mới
KH0002,Công ty TNHH MTV Thực phẩm Hưng Thịnh,Mới
KH0435,Võ Xuân Phong,VIP
KH0050,Công ty TNHH MTV Thực phẩm Thành Đạt,Thường
KH0081,Võ Văn Long,Tiềm năng
KH0206,Nguyễn Văn Cường,VIP
KH0035,Đặng Bích Huyền,Mới
KH0264,Doanh nghiệp tư nhân Phân phối Thiên Phú,VIP
KH0367,Lê Thu Nhung,Thường
KH0092,Đỗ Quốc Phong,Thường
KH0340,Công ty Cổ phần Phân phối Hưng Thịnh,Thường
KH0426,Công ty TNHH MTV Xuất nhập khẩu Thành Đạt,VIP
KH0053,Vũ Kim Nhung,VIP
KH0346,Công ty TNHH MTV Xây dựng Phú Gia,VIP
KH0265,Công ty TNHH Xuất nhập khẩu Minh Phát,Tiềm năng
KH0242,Doanh nghiệp tư nhân Xuất nhập khẩu Việt Thắng,Thân thiết
KH0014,Công ty TNHH Xuất nhập khẩu Hoàng Gia,VIP
KH0316,Võ Ngọc Lan,Mới
KH0089,Nguyễn Quốc Sơn,Mới
KH0388,Dương Đức Hải,VIP
KH0274,Công ty Cổ phần Phân phối Tân Phát,VIP
KH0167,Trần Diễm Anh,Thường
KH0329,Công ty Cổ phần Phân phối Tân Phát,Mới
