MaKhachHang,TenKhachHang,Vung,LoaiKhach,NgayBatDauGiaoDich,HanMucCongNo
KH0048,Doanh nghiệp tư nhân Xây dựng Thiên Phú,Miền Nam,Sỉ,2024-02-08 23:22:03,452000000.0
KH0049,Công ty TNHH MTV Dịch vụ Sao Việt,Miền Trung,Sỉ,2022-10-01 19:04:34,1062000000.0
KH0050,Công ty TNHH MTV Thực phẩm Thành Đạt,Miền Nam,Sỉ,2022-09-05 02:42:22,200000000.0
KH0051,Võ Thị Lan,Miền Nam,Lẻ,2024-06-16 01:45:58,99000000.0
KH0052,Đỗ Công Việt,Miền Nam,Lẻ,2022-08-08 15:00:53,28000000.0
KH0053,Vũ Kim Nhung,Miền Nam,Lẻ,2022-12-20 22:57:47,61000000.0
KH0054,Ngô Quốc Dũng,Miền Nam,Lẻ,2023-03-26 02:28:28,20000000.0
KH0055,Doanh nghiệp tư nhân Phân phối Kim Long,Miền Trung,Sỉ,2024-07-26 05:29:55,1178000000.0
KH0056,Hoàng Thu Nhung,Miền Nam,Lẻ,2022-08-11 07:57:48,43000000.0
KH0057,Võ Kim Yến,Miền Trung,Lẻ,2024-01-01 16:36:10,5000000.0
KH0058,Công ty TNHH MTV Dịch vụ Việt Thắng,Miền Bắc,Sỉ,2023-08-19 02:12:03,247000000.0
KH0059,Hoàng Công Bình,Miền Bắc,Lẻ,2024-04-25 23:13:08,5000000.0
KH0060,Công ty Cổ phần Dịch vụ Minh Phát,Miền Trung,Sỉ,2024-06-14 22:26:48,291000000.0
KH0061,Công ty Cổ phần Xây dựng An Khang,Miền Nam,Sỉ,2023-12-09 17:45:44,250000000.0
KH0062,Doanh nghiệp tư nhân Dịch vụ Tân Á,Miền Trung,Sỉ,2022-08-18 00:14:26,609000000.0
KH0063,Công ty TNHH Xây dựng Tân Á,Miền Bắc,Sỉ,2024-01-28 20:05:05,2336000000.0
KH0064,Phạm Quốc An,Miền Trung,Lẻ,2023-09-27 00:25:53,5000000.0
KH0065,Đỗ Thu Anh,Miền Trung,Lẻ,2022-08-19 19:16:31,5000000.0
KH0066,Nguyễn Diễm Hương,Miền Nam,Lẻ,2023-05-10 19:30:20,5000000.0
KH0067,Doanh nghiệp tư nhân Thương mại Thành Đạt,Miền Bắc,Sỉ,2023-05-22 00:37:26,200000000.0
KH0068,Đặng Minh Nam,Miền Nam,Lẻ,2023-12-29 15:40:36,13000000.0
KH0069,Công ty TNHH MTV Xây dựng Phú Gia,Miền Nam,Sỉ,2023-02-01 03:53:46,200000000.0
KH0070,Công ty TNHH MTV Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,2022-11-08 19:05:32,13500000000.0
KH0071,Công ty TNHH Xuất nhập khẩu Tân Phát,Miền Trung,Sỉ,2023-01-01 08:46:24,2158000000.0
KH0072,Trần Diễm Anh,Miền Trung,Lẻ,2023-02-14 22:33:55,5000000.0
KH0073,Lê Quốc Bình,Miền Trung,Lẻ,2024-01-23 09:11:24,5000000.0
KH0074,Phạm Xuân Sơn,Miền Nam,Lẻ,2023-07-30 09:43:58,25000000.0
KH0075,Công ty Cổ phần Thực phẩm Đông Á,Miền Nam,Sỉ,2023-09-12 02:52:37,1434000000.0
KH0076,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Á,Miền Trung,Sỉ,2023-08-19 14:46:58,738000000.0
KH0077,Dương Kim Linh,Miền Trung,Lẻ,2023-11-15 20:34:15,12000000.0
KH0078,Công ty TNHH Thực phẩm Minh Phát,Miền Bắc,Sỉ,2023-04-08 08:13:23,200000000.0
KH0079,Ngô Công Hùng,Miền Nam,Lẻ,2023-06-05 02:56:06,5000000.0
KH0080,Bùi Công Cường,Miền Nam,Lẻ,2024-06-01 23:39:42,5000000.0
KH0081,Võ Văn Long,Miền Nam,Lẻ,2022-09-03 03:24:15,27000000.0
KH0082,Doanh nghiệp tư nhân Phân phối Tân Phát,Miền Trung,Sỉ,2023-09-21 13:48:30,817000000.0
KH0083,Hoàng Quốc Việt,Miền Trung,Lẻ,2023-08-23 20:07:23,5000000.0
KH0084,Công ty TNHH MTV Phân phối Việt Thắng,Miền Trung,Sỉ,2023-12-02 02:02:35,254000000.0
KH0085,Công ty TNHH Phân phối Kim Long,Miền Bắc,Sỉ,2024-05-15 00:20:38,208000000.0
KH0086,Lý Công Long,Miền Trung,Lẻ,2024-07-21 06:14:23,7000000.0
KH0087,Trần Diễm Hương,Miền Bắc,Lẻ,2022-10-25 18:11:57,15000000.0
KH0088,Lý Đức Bình,Miền Trung,Lẻ,2023-10-20 23:28:49,16000000.0
KH0089,Nguyễn Quốc Sơn,Miền Nam,Lẻ,2023-07-07 20:36:07,30000000.0
KH0090,Công ty TNHH MTV Xuất nhập khẩu Minh Phát,Miền Bắc,Sỉ,2022-11-07 19:13:46,247000000.0
KH0091,Doanh nghiệp tư nhân Phân phối Tân Á,Miền Trung,Sỉ,2022-09-14 08:21:55,200000000.0
KH0092,Đỗ Quốc Phong,Miền Trung,Lẻ,2023-03-06 20:38:09,20000000.0
KH0093,Doanh nghiệp tư nhân Xuất nhập khẩu Hưng Thịnh,Miền Nam,Sỉ,2023-12-01 09:52:12,1955000000.0
KH0094,Công ty TNHH Xuất nhập khẩu Hoàng Gia,Miền Trung,Sỉ,2022-09-18 02:42:24,632000000.0
KH0095,Công ty TNHH MTV Thương mại Hưng Thịnh,Miền Nam,Sỉ,2024-07-02 10:12:29,1196000000.0
KH0096,Công ty Cổ phần Phân phối Thành Đạt,Miền Trung,Sỉ,2024-02-09 20:31:00,467000000.0
KH0097,Công ty TNHH MTV Thực phẩm Phú Gia,Miền Bắc,Sỉ,2024-06-05 01:11:52,397000000.0
KH0098,Ngô Kim Phương,Miền Bắc,Lẻ,2023-02-01 11:27:00,10000000.0
KH0099,Doanh nghiệp tư nhân Dịch vụ Việt Phát,Miền Nam,Sỉ,2022-08-18 07:32:32,260000000.0
KH0100,Đặng Minh Bình,Miền Trung,Lẻ,2024-03-25 05:14:59,5000000.0
KH0101,Vũ Ngọc Khánh,Miền Nam,Lẻ,2024-07-31 14:30:05,5000000.0
KH0102,Bùi Đức Khánh,Miền Nam,Lẻ,2022-10-19 10:53:46,12000000.0
KH0103,Phan Thu Trang,Miền Trung,Lẻ,2023-01-15 20:31:59,5000000.0
KH0104,Doanh nghiệp tư nhân Thực phẩm Phú Gia,Miền Bắc,Sỉ,2023-04-05 20:37:57,403000000.0
KH0105,Doanh nghiệp tư nhân Thương mại Hoàng Gia,Miền Bắc,Sỉ,2023-09-04 19:40:52,3666000000.0
KH0106,Hoàng Xuân Đạt,Miền Nam,Lẻ,2023-07-07 13:58:31,5000000.0
KH0107,Võ Thị Trang,Miền Nam,Lẻ,2022-12-23 02:51:19,8000000.0
KH0108,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,2023-12-27 12:35:32,2595000000.0
KH0109,Phạm Bích Huyền,Miền Bắc,Lẻ,2022-09-25 03:33:23,5000000.0
KH0110,Vũ Thị Lan,Miền Bắc,Lẻ,2023-10-23 08:27:07,5000000.0
KH0111,Công ty TNHH MTV Thực phẩm Đại Dương,Miền Bắc,Sỉ,2022-10-18 12:24:02,495000000.0
KH0112,Lý Minh Bình,Miền Nam,Lẻ,2024-04-12 22:21:00,5000000.0
KH0113,Công ty TNHH Phân phối Kim Long,Miền Nam,Sỉ,2024-04-02 14:26:36,2749000000.0
KH0114,Đỗ Văn Phong,Miền Bắc,Lẻ,2023-07-02 01:04:43,19000000.0
KH0115,Doanh nghiệp tư nhân Thương mại Kim Long,Miền Nam,Sỉ,2024-05-12 09:57:05,630000000.0
KH0116,Công ty TNHH Xuất nhập khẩu Minh Phát,Miền Bắc,Sỉ,2023-11-06 17:51:44,2689000000.0
KH0117,Bùi Kim Yến,Miền Bắc,Lẻ,2023-03-23 12:57:16,14000000.0
KH0118,Công ty TNHH MTV Thực phẩm Sao Việt,Miền Bắc,Sỉ,2024-02-19 13:40:07,200000000.0
KH0119,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Phát,Miền Trung,Sỉ,2023-10-18 06:45:45,2636000000.0
KH0120,Phạm Đức Long,Miền Trung,Lẻ,2024-06-28 21:19:51,16000000.0
KH0121,Công ty Cổ phần Thực phẩm Đại Dương,Miền Nam,Sỉ,2024-06-08 13:50:16,1330000000.0
KH0122,Công ty TNHH Dịch vụ Toàn Cầu,Miền Trung,Sỉ,2022-10-28 22:31:23,4065000000.0
KH0123,Huỳnh Bích Linh,Miền Bắc,Lẻ,2023-05-31 08:58:22,5000000.0
KH0124,Dương Quốc Đạt,Miền Nam,Lẻ,2024-08-01 02:40:34,5000000.0
KH0125,Doanh nghiệp tư nhân Xây dựng Việt Thắng,Miền Bắc,Sỉ,2022-10-25 09:45:23,213000000.0
KH0126,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Miền Bắc,Sỉ,2023-01-06 13:50:07,872000000.0
KH0127,Võ Kim Nhung,Miền Nam,Lẻ,2024-07-30 23:04:46,21000000.0
KH0128,Lý Công Việt,Miền Bắc,Lẻ,2023-01-06 14:11:08,20000000.0
KH0129,Công ty Cổ phần Thực phẩm Đông Á,Miền Trung,Sỉ,2023-06-22 13:07:57,200000000.0
KH0130,Công ty Cổ phần Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,2022-11-19 03:19:55,731000000.0
KH0131,Công ty TNHH MTV Phân phối Tân Phát,Miền Trung,Sỉ,2022-08-07 11:13:25,257000000.0
KH0132,Doanh nghiệp tư nhân Xuất nhập khẩu Đại Dương,Miền Trung,Sỉ,2023-10-31 13:06:15,200000000.0
KH0133,Doanh nghiệp tư nhân Thương mại Đại Dương,Miền Nam,Sỉ,2023-05-05 03:43:19,200000000.0
KH0134,Võ Thu Hoa,Miền Bắc,Lẻ,2022-12-15 03:10:42,5000000.0
KH0135,Doanh nghiệp tư nhân Thương mại Việt Thắng,Miền Trung,Sỉ,2023-02-09 15:41:29,5190000000.0
KH0136,Công ty TNHH Phân phối Đại Dương,Miền Trung,Sỉ,2023-11-04 20:16:45,371000000.0
KH0137,Doanh nghiệp tư nhân Phân phối Đại Dương,Miền Trung,Sỉ,2024-02-21 18:39:26,541000000.0
KH0138,Trần Quốc Khánh,Miền Nam,Lẻ,2023-09-23 03:45:38,20000000.0
KH0139,Doanh nghiệp tư nhân Phân phối Hưng Thịnh,Miền Bắc,Sỉ,2022-08-28 03:15:46,1038000000.0
KH0140,Dương Xuân Khánh,Miền Bắc,Lẻ,2023-07-30 20:10:42,128000000.0
KH0141,Bùi Kim Phương,Miền Nam,Lẻ,2022-11-05 21:44:00,62000000.0
KH0142,Công ty TNHH Thực phẩm Hưng Thịnh,Miền Nam,Sỉ,2024-04-05 11:48:43,200000000.0
KH0143,Công ty Cổ phần Phân phối Tân Á,Miền Bắc,Sỉ,2023-08-31 00:26:57,548000000.0
KH0144,Phạm Kim Hoa,Miền Nam,Lẻ,2023-05-27 15:03:58,5000000.0
KH0145,Ngô Thị Nhung,Miền Nam,Lẻ,2023-09-03 03:05:01,5000000.0
KH0146,Lê Thị Anh,Miền Nam,Lẻ,2024-02-25 08:50:16,5000000.0
KH0147,Huỳnh Thu Mai,Miền Bắc,Lẻ,2024-03-09 18:58:22,20000000.0
KH0148,Huỳnh Công Phong,Miền Bắc,Lẻ,2023-01-22 13:51:43,9000000.0
KH0149,Doanh nghiệp tư nhân Thực phẩm Việt Phát,Miền Trung,Sỉ,2023-01-22 05:03:18,200000000.0
KH0150,Công ty Cổ phần Xây dựng Hưng Thịnh,Miền Bắc,Sỉ,2023-05-04 10:57:49,565000000.0
KH0151,Doanh nghiệp tư nhân Thực phẩm Kim Long,Miền Bắc,Sỉ,2023-05-03 17:57:14,4063000000.0
KH0152,Doanh nghiệp tư nhân Thực phẩm Đại Dương,Miền Trung,Sỉ,2022-12-29 02:18:12,295000000.0
KH0153,Phạm Quốc Nam,Miền Trung,Lẻ,2023-01-20 15:49:33,5000000.0
KH0154,Công ty TNHH MTV Phân phối Thành Đạt,Miền Bắc,Sỉ,2023-05-11 15:19:54,351000000.0
KH0155,Doanh nghiệp tư nhân Dịch vụ Việt Phát,Miền Nam,Sỉ,2023-06-04 17:37:49,18877000000.0
KH0156,Công ty TNHH Xuất nhập khẩu Thiên Phú,Miền Trung,Sỉ,2022-10-19 13:08:53,448000000.0
KH0157,Công ty TNHH MTV Phân phối Toàn Cầu,Miền Bắc,Sỉ,2023-04-16 08:58:41,817000000.0
KH0158,Công ty TNHH MTV Xuất nhập khẩu Tân Á,Miền Bắc,Sỉ,2024-05-03 18:03:05,1200000000.0
KH0159,Công ty Cổ phần Xuất nhập khẩu Tân Phát,Miền Trung,Sỉ,2024-04-01 22:27:08,531000000.0
KH0160,Công ty TNHH Xây dựng Đông Á,Miền Nam,Sỉ,2023-02-18 16:40:12,1816000000.0
KH0161,Công ty TNHH MTV Thực phẩm Tân Á,Miền Nam,Sỉ,2022-11-19 04:55:58,649000000.0
KH0162,Công ty TNHH MTV Thương mại Đông Á,Miền Bắc,Sỉ,2023-06-09 00:14:47,783000000.0
KH0163,Hoàng Văn Sơn,Miền Trung,Lẻ,2023-09-11 12:05:44,12000000.0
KH0164,Doanh nghiệp tư nhân Dịch vụ Kim Long,Miền Trung,Sỉ,2024-04-28 13:49:52,785000000.0
KH0165,Công ty TNHH MTV Xây dựng An Khang,Miền Trung,Sỉ,2023-07-05 16:01:40,259000000.0
KH0166,Đặng Đức Tuấn,Miền Nam,Lẻ,2023-07-10 15:40:41,11000000.0
KH0167,Trần Diễm Anh,Miền Nam,Lẻ,2024-05-29 21:38:28,5000000.0
KH0168,Công ty TNHH MTV Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,2022-12-19 10:56:18,216000000.0
KH0169,Công ty TNHH MTV Phân phối Đại Dương,Miền Trung,Sỉ,2023-06-26 21:57:44,260000000.0
KH0170,Trần Thu Yến,Miền Bắc,Lẻ,2024-07-13 07:18:46,6000000.0
KH0171,Doanh nghiệp tư nhân Xây dựng An Khang,Miền Nam,Sỉ,2023-12-05 11:26:20,1676000000.0
KH0172,Lê Thu Phương,Miền Trung,Lẻ,2023-01-30 14:29:58,5000000.0
KH0173,Võ Ngọc Linh,Miền Trung,Lẻ,2023-06-24 10:36:40,19000000.0
KH0174,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Miền Bắc,Sỉ,2024-07-13 23:02:35,200000000.0
KH0175,Công ty TNHH Xuất nhập khẩu Hưng Thịnh,Miền Bắc,Sỉ,2023-12-17 20:58:01,995000000.0
KH0176,Công ty Cổ phần Xây dựng Đông Á,Miền Trung,Sỉ,2023-04-07 11:51:54,200000000.0
KH0177,Dương Thu Hoa,Miền Bắc,Lẻ,2023-08-22 10:12:19,10000000.0
KH0178,Ngô Quốc Phong,Miền Nam,Lẻ,2023-09-08 13:17:23,5000000.0
KH0179,Trần Quốc Sơn,Miền Trung,Lẻ,2022-11-26 20:31:45,54000000.0
KH0180,Phan Thu Hoa,Miền Nam,Lẻ,2023-02-22 21:33:44,5000000.0
KH0181,Bùi Văn Sơn,Miền Trung,Lẻ,2024-02-11 06:33:03,5000000.0
KH0182,Công ty TNHH MTV Thực phẩm Kim Long,Miền Nam,Sỉ,2024-06-30 20:01:42,200000000.0
KH0183,Công ty TNHH Phân phối Việt Thắng,Miền Bắc,Sỉ,2022-08-29 16:48:25,4911000000.0
KH0184,Công ty TNHH MTV Phân phối Toàn Cầu,Miền Bắc,Sỉ,2024-07-27 07:37:59,1730000000.0
KH0185,Trần Văn Hùng,Miền Nam,Lẻ,2023-10-24 10:36:25,5000000.0
KH0186,Vũ Công Phong,Miền Trung,Lẻ,2024-07-11 02:31:04,15000000.0
KH0187,Công ty Cổ phần Xuất nhập khẩu Việt Thắng,Miền Trung,Sỉ,2023-09-24 18:10:44,1844000000.0
KH0188,Công ty TNHH MTV Phân phối Toàn Cầu,Miền Nam,Sỉ,2022-12-22 23:03:32,475000000.0
KH0189,Công ty Cổ phần Xuất nhập khẩu Minh Phát,Miền Nam,Sỉ,2023-06-08 08:48:42,928000000.0
KH0190,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Miền Bắc,Sỉ,2023-04-17 23:58:52,434000000.0
KH0191,Hoàng Ngọc Dũng,Miền Bắc,Lẻ,2023-01-06 15:24:20,5000000.0
KH0192,Doanh nghiệp tư nhân Xuất nhập khẩu Kim Long,Miền Nam,Sỉ,2023-08-23 02:41:34,3718000000.0
KH0193,Dương Ngọc Phong,Miền Nam,Lẻ,2023-11-04 21:46:12,29000000.0
KH0194,Công ty TNHH MTV Thương mại Đông Á,Miền Trung,Sỉ,2023-12-05 21:11:55,1228000000.0
KH0195,Hoàng Hữu Đạt,Miền Trung,Lẻ,2023-09-16 19:27:20,5000000.0
KH0196,Dương Công Tuấn,Miền Nam,Lẻ,2024-01-02 15:13:47,5000000.0
KH0197,Công ty TNHH Thương mại Hoàng Gia,Miền Trung,Sỉ,2024-02-09 01:20:18,1456000000.0
KH0198,Công ty Cổ phần Xây dựng An Khang,Miền Bắc,Sỉ,2023-08-05 19:32:53,3231000000.0
KH0199,Trần Bích Lan,Miền Trung,Lẻ,2024-04-01 23:14:07,44000000.0
KH0200,Công ty Cổ phần Xây dựng Hoàng Gia,Miền Nam,Sỉ,2022-10-28 03:58:55,1781000000.0
KH0201,Công ty Cổ phần Thực phẩm Thành Đạt,Miền Bắc,Sỉ,2023-04-13 23:56:33,1078000000.0
KH0202,Công ty TNHH MTV Xây dựng Đại Dương,Miền Bắc,Sỉ,2024-06-12 12:55:31,200000000.0
KH0203,Công ty TNHH MTV Xây dựng Minh Phát,Miền Bắc,Sỉ,2023-01-19 23:33:23,200000000.0
KH0204,Công ty TNHH Xây dựng Thành Đạt,Miền Trung,Sỉ,2024-04-20 01:36:46,2917000000.0
KH0205,Công ty TNHH MTV Xây dựng Hoàng Gia,Miền Trung,Sỉ,2024-02-29 23:29:05,429000000.0
KH0206,Nguyễn Văn Cường,Miền Bắc,Lẻ,2024-06-25 23:32:49,5000000.0
KH0207,Đỗ Hữu Việt,Miền Bắc,Lẻ,2023-09-15 12:04:23,5000000.0
KH0208,Trần Ngọc Phong,Miền Trung,Lẻ,2023-10-16 03:51:26,8000000.0
KH0209,Công ty TNHH Xuất nhập khẩu Kim Long,Miền Trung,Sỉ,2022-08-12 03:35:24,200000000.0
KH0210,Đặng Quốc Nam,Miền Bắc,Lẻ,2023-04-23 08:04:58,5000000.0
KH0211,Công ty TNHH Thương mại Tân Phát,Miền Trung,Sỉ,2024-01-06 18:53:19,828000000.0
KH0212,Doanh nghiệp tư nhân Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,2024-02-24 21:08:09,877000000.0
KH0213,Vũ Kim Hoa,Miền Trung,Lẻ,2024-07-06 20:56:37,9000000.0
KH0214,Công ty TNHH Dịch vụ Đại Dương,Miền Trung,Sỉ,2023-03-16 16:13:49,314000000.0
KH0215,Trần Ngọc Long,Miền Nam,Lẻ,2023-08-20 14:14:26,17000000.0
KH0216,Đặng Kim Phương,Miền Nam,Lẻ,2023-11-19 21:25:47,8000000.0
KH0217,Đặng Hữu Đạt,Miền Nam,Lẻ,2024-07-09 18:13:17,5000000.0
KH0218,Bùi Bích Yến,Miền Bắc,Lẻ,2023-01-03 12:33:35,17000000.0
KH0219,Dương Minh Dũng,Miền Trung,Lẻ,2022-08-27 17:34:37,7000000.0
KH0220,Phan Minh Long,Miền Nam,Lẻ,2022-11-17 10:45:22,37000000.0
KH0221,Doanh nghiệp tư nhân Phân phối Minh Phát,Miền Trung,Sỉ,2023-10-01 03:07:33,596000000.0
KH0222,Công ty TNHH MTV Xuất nhập khẩu Hoàng Gia,Miền Nam,Sỉ,2022-11-28 05:09:29,1514000000.0
KH0223,Bùi Đức Tuấn,Miền Bắc,Lẻ,2023-07-24 11:21:20,5000000.0
KH0224,Doanh nghiệp tư nhân Thương mại Hưng Thịnh,Miền Bắc,Sỉ,2023-07-19 16:34:41,463000000.0
KH0225,Công ty TNHH Thương mại Toàn Cầu,Miền Nam,Sỉ,2023-03-01 18:58:23,200000000.0
KH0226,Công ty TNHH Phân phối Thiên Phú,Miền Bắc,Sỉ,2023-12-09 12:40:52,200000000.0
KH0227,Ngô Văn Sơn,Miền Trung,Lẻ,2023-12-02 03:33:15,118000000.0
KH0228,Công ty TNHH MTV Phân phối Minh Phát,Miền Trung,Sỉ,2023-10-24 16:28:23,527000000.0
KH0229,Doanh nghiệp tư nhân Dịch vụ Toàn Cầu,Miền Bắc,Sỉ,2023-06-24 02:26:44,3442000000.0
KH0230,Dương Thị Linh,Miền Trung,Lẻ,2023-06-05 01:37:36,5000000.0
KH0231,Công ty TNHH MTV Dịch vụ Minh Phát,Miền Nam,Sỉ,2024-07-29 04:11:24,1471000000.0
KH0232,Công ty Cổ phần Xây dựng Tân Phát,Miền Nam,Sỉ,2022-08-25 12:29:27,632000000.0
KH0233,Công ty Cổ phần Thương mại Thiên Phú,Miền Nam,Sỉ,2024-05-26 03:58:54,650000000.0
KH0234,Công ty TNHH MTV Thương mại Sao Việt,Miền Trung,Sỉ,2024-06-25 05:59:02,538000000.0
KH0235,Công ty Cổ phần Xuất nhập khẩu Thành Đạt,Miền Nam,Sỉ,2023-04-08 18:47:12,200000000.0
KH0236,Công ty TNHH MTV Thương mại Việt Phát,Miền Bắc,Sỉ,2023-01-27 20:05:39,1372000000.0
KH0237,Công ty TNHH MTV Phân phối Tân Á,Miền Nam,Sỉ,2023-01-12 12:03:03,282000000.0
KH0238,Lý Văn Cường,Miền Trung,Lẻ,2024-02-26 15:31:25,5000000.0
KH0239,Công ty Cổ phần Thực phẩm Đông Á,Miền Trung,Sỉ,2023-11-18 08:26:29,1151000000.0
KH0240,Công ty TNHH Xây dựng Thành Đạt,Miền Nam,Sỉ,2023-09-20 22:55:43,226000000.0
KH0241,Công ty TNHH Phân phối An Khang,Miền Bắc,Sỉ,2023-02-06 06:47:10,3114000000.0
KH0242,Doanh nghiệp tư nhân Xuất nhập khẩu Việt Thắng,Miền Bắc,Sỉ,2024-05-18 23:55:54,8120000000.0
