MaKhachHang,TenKhachHang,NhomKH
KH-0274,Công ty Cổ phần Phân phối Tân Phát,VIP
KH-0283,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Mới
KH-0177,DUONG THU HOA,VIP
KH-0424,Công ty TNHH MTV Xây dựng Việt Phát,Tiềm năng
KH-0223,bùi đức tuấn,Thân thiết
KH-0094,công ty tnhh xuất nhập khẩu hoàng gia,Thường
KH-0023,Nguyễn Thị Mai,Thường
KH-0286,Lê Kim Hoa,Thường
KH-0321,Công ty Cổ phần Xuất nhập khẩu Hưng Thịnh,Mới
KH-0016,doanh nghiệp tư nhân xây dựng thành đạt,Thường
KH-0391,Ngô Ngọc Phong,Mới
KH-0114,Đỗ Văn Phong,VIP
KH-0056,Hoàng Thu Nhung,Mới
KH-0011,công ty tnhh mtv xuất nhập khẩu toàn cầu,Mới
KH-0087,Trần Diễm Hương,Tiềm năng
KH-0335,Doanh nghiệp tư nhân Phân phối Việt Thắng,Tiềm năng
KH-0045,Cty TNHH Dịch vụ Việt Thắng,Mới
KH-0172,Lê  Thu Phương,Mới
KH-0337,Võ Công Việt,Thường
KH0233,Công ty Cổ phần Thương mại Thiên Phú,Mới
KH-0426,Cty TNHH MTV Xuất nhập khẩu Thành Đạt,VIP
KH-0266,Phạm Xuân Phong,VIP
KH0158,công ty tnhh mtv xuất nhập khẩu tân á,Mới
KH-0356,Công ty TNHH Phân phối Hoàng  Gia,Thường
KH-0046,Công ty Cổ phần Xuất nhập khẩu Đông Á,VIP
KH-0319,Cty TNHH Dịch vụ Hưng Thịnh,Tiềm năng
KH-0145,Ngô Thị Nhung,VIP
KH-0050,Công ty TNHH MTV Thực phẩm Thành Đạt,Thường
KH-0128,Lý Công Việt,Thường
KH-0403,Dương Công Tuấn,Thân thiết
KH-0031,TRAN THU THAO,VIP
KH-0077,Dương Kim Linh,Thường
KH-0224,DOANH NGHIEP TU NHAN THUONG MAI HUNG THINH,VIP
KH-0001,Cty CP Dịch vụ Hoàng Gia,Tiềm năng
KH-0265,Công ty TNHH Xuất nhập khẩu Minh Phát,Tiềm năng
KH-0062,Doanh nghiệp tư nhân Dịch vụ Tân Á,Tiềm năng
KH-0297,Lý Xuân Cường,Tiềm năng
KH-0369,Doanh nghiệp tư nhân Dịch vụ Phú Gia,VIP
KH-0322,Lý Minh Khánh,
KH-0115,DNTN Thương mại Kim Long,Thường
KH-0110,Vũ Thị Lan,Thường
KH-0047,huỳnh ngọc cường,Tiềm năng
KH-0327,Công ty TNHH MTV Xây dựng Đại Dương,Mới
KH-0216,Đặng Kim  Phương,VIP
KH-0228,CONG TY TNHH MTV PHAN PHOI MINH PHAT,Thường
KH-0299,Doanh nghiệp tư nhân Phân phối Hoàng Gia,Mới
KH-0116,Công ty TNHH Xuất nhập khẩu Minh  Phát,Tiềm năng
KH-0375,Công ty  TNHH Thực phẩm Đại Dương,VIP
KH-0095,Công ty TNHH MTV Thương mại Hưng Thịnh,Mới
KH-0178,Ngô Quốc Phong,Thường
KH-0211,Công ty TNHH Thương mại Tân Phát,Tiềm năng
KH-0113,Công ty TNHH Phân phối Kim Long,VIP
KH-0053,Vũ Kim Nhung,VIP
KH-0434,Phan Công Khánh,Mới
KH-0282,DUONG HUU SON,
KH-0123,Huỳnh  Bích Linh,Mới
KH-0043,Doanh nghiệp tư nhân Xuất nhập khẩu Toàn Cầu,VIP
KH-0351,CONG TY TNHH MTV XAY DUNG PHU GIA,Thân thiết
KH-0199,Trần Bích  Lan,Mới
KH-0232,Công ty Cổ phần Xây dựng Tân Phát,Thường
KH-0449,Công ty TNHH MTV Phân phối Thành Đạt,VIP
KH-0263,Phan Ngọc Cường,Thường
KH-0448,bùi xuân sơn,Tiềm năng
KH-0039,Phan Diễm Nhung,Thường
KH-0040,CONG TY CO PHAN XUAT NHAP KHAU VIET PHAT,Thân thiết
KH0392,Công ty TNHH MTV Xuất nhập khẩu Đại Dương,Thân thiết
KH-0413,Ngô Kim Linh,Mới
KH-0289,Đỗ Minh Phong,Mới
KH-0052,Đỗ Công Việt,
KH-0185,Trần Văn Hùng,VIP
KH-0251,Cty TNHH MTV Thương mại Kim Long,VIP
KH-0006,Công ty TNHH MTV Thực  phẩm Việt Thắng,Thường
KH-0218,Bùi Bích Yến,VIP
KH-0104,doanh nghiệp tư nhân thực phẩm phú gia,Tiềm năng
KH-0142,Công ty TNHH Thực phẩm Hưng Thịnh,Thường
KH-0153,phạm quốc nam,Thân thiết
KH-0047,huỳnh ngọc cường,Tiềm năng
KH-0217,Đặng Hữu Đạt,Tiềm năng
KH-0146,Lê Thị Anh,Tiềm năng
KH-0441,Nguyễn Ngọc Hải,
KH-0379,HOANG HUU AN,Mới
KH-0004,Công ty Cổ phần Phân phối An  Khang,Thường
KH-0090,Công ty TNHH MTV Xuất nhập khẩu Minh Phát,Thường
KH-0124,dương quốc đạt,Thường
KH-0247,Hoàng Xuân Nam,VIP
KH-0350,DO KIM ANH,Mới
KH0139,Doanh nghiệp tư  nhân Phân phối Hưng Thịnh,Thân thiết
KH-0101,Vũ Ngọc Khánh,VIP
KH-0396,DANG NGOC TUAN,Mới
KH-0119,DNTN Xuất nhập khẩu Tân Phát,Mới
KH0222,Công ty TNHH MTV Xuất  nhập khẩu Hoàng Gia,Tiềm năng
KH-0252,Phan Thị Anh,Mới
KH-0164,DOANH NGHIEP TU NHAN DICH VU KIM LONG,Mới
KH-0240,Công ty TNHH Xây dựng Thành Đạt,
KH-0212,Doanh nghiệp tư nhân  Xuất nhập khẩu Minh Phát,Thường
KH-0352,Công ty Cổ phần Thương mại Hoàng Gia,Tiềm năng
KH-0037,Bùi Ngọc An,Tiềm năng
KH-0201,Công ty Cổ phần Thực phẩm Thành Đạt,VIP
KH-0326,phạm hữu đạt,VIP
KH-0171,Doanh nghiệp tư nhân Xây dựng An Khang,Thân thiết
KH-0291,công ty tnhh mtv xuất nhập khẩu toàn cầu,Mới
KH-0411,Doanh nghiệp tư nhân Phân phối Tân Á,Thân thiết
KH-0419,Võ Công Nam,VIP
KH-0132,Doanh nghiệp tư nhân Xuất nhập khẩu Đại Dương,Tiềm năng
KH0370,Trần Kim Mai,Thường
KH-0300,Công ty Cổ phần Phân phối Hưng Thịnh,Thường
KH-0290,Võ Thu Mai,Thân thiết
KH-0097,Công ty TNHH MTV Thực phẩm Phú Gia,Tiềm năng
KH-0242,Doanh nghiệp tư nhân Xuất nhập khẩu Việt Thắng,Thân thiết
KH-0120,phạm đức long,Mới
KH-0092,Đỗ Quốc  Phong,
KH-0341,Cty TNHH MTV Thương mại Thành Đạt,
KH-0024,PHAM DIEM ANH,Tiềm năng
KH-0196,DUONG CONG TUAN,Tiềm năng
KH-0334,công ty tnhh thương mại kim long,Thường
KH-0166,Đặng Đức Tuấn,VIP
KH-0157,Công ty TNHH MTV Phân phối Toàn Cầu,Tiềm năng
KH-0075,Công ty Cổ phần Thực phẩm Đông Á,Tiềm năng
KH-0402,HUYNH BICH LINH,Mới
KH-0348,dương kim yến,Thường
KH-0067,DNTN Thương mại Thành Đạt,
KH-0091,Doanh nghiệp tư nhân Phân phối Tân Á,Tiềm năng
KH-0219,Dương Minh Dũng,Mới
KH-0085,Công ty TNHH Phân phối Kim Long,Thân thiết
KH-0333,Trần Ngọc Linh,Mới
KH-0374,bùi xuân sơn,Tiềm năng
KH-0308,Công ty Cổ phần Thực phẩm Đông Á,Thường
KH-0229,Doanh nghiệp tư nhân Dịch vụ Toàn Cầu,Tiềm năng
KH-0292,Công ty TNHH MTV Phân phối Phú Gia,
KH-0010,Doanh nghiệp tư nhân Thương mại  Thiên Phú,VIP
KH-0438,Phan Ngọc Phong,
KH-0343,Bùi Ngọc Hùng,VIP
KH-0061,Công ty Cổ phần Xây dựng An Khang,Tiềm năng
KH-0231,Công ty TNHH MTV Dịch vụ Minh Phát,Thân thiết
KH-0422,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Thường
KH-0363,Đặng Ngọc Phương,Tiềm năng
KH-0241,Công ty TNHH Phân phối An Khang,VIP
KH-0162,Công ty TNHH MTV Thương mại  Đông Á,Thân thiết
KH-0038,DOANH NGHIEP TU NHAN XUAT NHAP KHAU MINH PHAT,VIP
KH-0183,Công ty TNHH  Phân phối Việt Thắng,Thân thiết
KH-0440,Đặng Bích  Anh,VIP
KH-0245,Trần  Ngọc Hương,
KH-0325,Phạm Hữu Khánh,Thân thiết
KH-0173,VO NGOC LINH,Tiềm năng
KH-0380,Đỗ Xuân Phong,Thân thiết
KH-0372,Công ty TNHH Xây dựng Việt Thắng,Tiềm năng
KH-0418,Phan Ngọc Phong,Thường
KH-0332,Công ty Cổ phần Thực phẩm Toàn Cầu,Mới
KH-0227,Ngô Văn Sơn,Thân thiết
KH-0069,Công ty TNHH MTV Xây dựng Phú Gia,Thường
KH-0234,Công ty TNHH MTV Thương mại  Sao Việt,Thường
KH-0367,Lê Thu Nhung,Thường
KH-0060,Công ty Cổ phần Dịch vụ Minh Phát,Tiềm năng
KH-0066,Nguyễn Diễm Hương,Mới
KH-0346,Công ty TNHH MTV Xây dựng Phú Gia,VIP
KH-0098,Ngô Kim Phương,Thường
KH-0143,Công ty Cổ phần Phân phối Tân Á,VIP
KH-0221,Doanh nghiệp tư nhân Phân phối Minh Phát,Thường
KH-0078,Công ty TNHH Thực phẩm Minh Phát,Thường
KH-0431,CONG TY TNHH XUAT NHAP KHAU DAI DUONG,Thân thiết
KH-0048,Doanh  nghiệp tư nhân Xây dựng Thiên Phú,Thường
KH-0209,Công ty TNHH Xuất nhập khẩu Kim Long,Thường
KH-0315,Doanh nghiệp tư nhân  Dịch vụ Đông Á,Mới
KH-0306,Dương Bích Huyền,Thân thiết
KH-0439,Công ty  TNHH MTV Xây dựng An Khang,Thường
KH-0385,Lý Thị Huyền,VIP
KH-0409,CONG TY TNHH MTV PHAN PHOI AN KHANG,Tiềm năng
KH-0163,Hoàng Văn Sơn,Tiềm năng
KH-0127,Võ Kim Nhung,Thân thiết
KH-0435,Võ  Xuân Phong,VIP
KH-0347,Huỳnh Diễm Hương,Thường
KH-0388,Dương Đức Hải,VIP
KH-0029,Cty TNHH MTV Dịch vụ Việt Phát,Tiềm năng
KH-0203,Công ty TNHH MTV Xây dựng Minh Phát,Mới
KH-0191,Hoàng Ngọc Dũng,Tiềm năng
KH0207,Đỗ Hữu Việt,Thường
KH-0406,Đặng Ngọc Hương,Thân thiết
KH-0180,Phan Thu Hoa,Thường
KH-0109,Phạm Bích Huyền,Thường
KH-0200,Công ty Cổ phần Xây dựng Hoàng Gia,Thường
KH-0281,Công ty TNHH Thương mại Thiên Phú,Thân thiết
KH-0082,Doanh nghiệp tư nhân Phân phối Tân Phát,Tiềm năng
KH-0071,Công ty TNHH Xuất nhập khẩu Tân Phát,Tiềm năng
KH-0118,CONG TY TNHH MTV THUC PHAM SAO VIET,Mới
KH-0184,Công ty  TNHH MTV Phân phối Toàn Cầu,Thân thiết
KH-0393,Đặng Thị Linh,
KH-0017,Lý Văn Bình,VIP
KH-0035,Đặng Bích Huyền,Mới
KH-0427,CONG TY TNHH XUAT NHAP KHAU VIET THANG,Thường
KH-0397,Trần Ngọc Cường,Tiềm năng
KH-0019,Lê Xuân Khánh,Mới
KH-0405,Công ty TNHH Thực phẩm Việt Phát,Thường
KH-0238,Lý Văn Cường,Thường
KH-0028,Bùi Công Nam,Tiềm năng
KH-0340,Công ty Cổ phần Phân phối Hưng Thịnh,Thường
KH-0111,Công ty TNHH MTV Thực phẩm Đại Dương,Mới
KH-0063,Công ty TNHH Xây dựng Tân Á,VIP
KH-0105,DNTN Thương mại Hoàng Gia,Mới
KH-0342,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Mới
KH-0027,Công ty Cổ phần Xây dựng Tân Phát,Thường
KH-0404,Công ty TNHH MTV Xây dựng Tân Á,Thường
KH-0400,Công ty Cổ phần Dịch vụ  Việt Phát,Tiềm năng
KH-0002,Công ty TNHH MTV Thực phẩm Hưng Thịnh,Mới
KH-0354,Doanh nghiệp tư nhân Dịch vụ Phú Gia,Tiềm năng
KH-0378,Võ Ngọc Tuấn,VIP
KH-0420,Trần Công Cường,Thường
KH-0303,Cty CP Xây dựng Hoàng Gia,Mới
KH-0194,Công  ty TNHH MTV Thương mại Đông Á,Thân thiết
KH-0071,Công ty TNHH Xuất nhập khẩu Tân Phát,Tiềm năng
KH-0355,Ngô Thu Mai,Mới
KH-0138,Trần Quốc Khánh,Thân thiết
KH-0384,Lê Kim Hương,Tiềm năng
KH-0156,Công ty TNHH Xuất nhập khẩu Thiên Phú,Tiềm năng
KH0268,công ty tnhh mtv xây dựng hoàng gia,Mới
KH-0437,Bùi Ngọc Hoa,Mới
KH-0144,Phạm Kim Hoa,VIP
KH-0032,DNTN Xuất nhập khẩu An Khang,Thân thiết
KH-0181,Bùi Văn  Sơn,Thường
KH-0330,Doanh nghiệp tư nhân Thực phẩm Thành Đạt,VIP
KH-0081,Võ Văn Long,
KH-0213,Vũ Kim Hoa,Thân thiết
KH-0140,Dương Xuân Khánh,VIP
KH-0154,Công ty TNHH MTV Phân phối Thành Đạt,VIP
KH-0214,Công ty TNHH Dịch vụ Đại Dương,Tiềm năng
KH-0210,DANG QUOC NAM,Thân thiết
KH-0108,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,VIP
KH-0430,DOANH NGHIEP TU NHAN DICH VU THANH DAT,Thân thiết
KH-0136,Công ty TNHH Phân phối Đại Dương,VIP
KH-0416,Phạm  Đức Khánh,Tiềm năng
KH-0389,Công ty TNHH MTV Thực phẩm Kim Long,Thân thiết
KH-0270,Võ Ngọc Khánh,Mới
KH-0272,Lê Đức Sơn,Thường
KH-0276,CONG TY TNHH MTV PHAN PHOI HOANG GIA,Thân thiết
KH0041,Đỗ Diễm Linh,Thường
KH-0003,Lê Xuân Việt,Mới
KH-0318,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Mới
KH-0407,Công ty TNHH MTV Thực  phẩm Phú Gia,VIP
KH-0243,Huỳnh  Quốc Việt,Thân thiết
KH-0361,Võ Hữu Việt,Tiềm năng
KH-0020,Phạm Ngọc Hải,Thân thiết
KH-0186,Vũ Công Phong,Thường
KH-0339,công ty tnhh mtv xây dựng toàn cầu,Tiềm năng
KH-0323,Công ty TNHH Xuất nhập khẩu Phú Gia,VIP
KH-0168,Công ty TNHH MTV Xuất nhập khẩu Phú Gia,Thân thiết
KH0304,NGO CONG CUONG,
KH-0287,công ty tnhh mtv phân phối hưng thịnh,Thường
KH-0099,Doanh nghiệp tư nhân Dịch vụ Việt Phát,Thường
KH-0145,Ngô Thị Nhung,VIP
KH-0305,Công ty Cổ phần Thương mại Tân Á,Tiềm năng
KH-0415,LE MINH NAM,VIP
KH-0235,công ty cổ phần xuất nhập khẩu thành đạt,Tiềm năng
KH0015,Doanh nghiệp tư nhân Phân phối  Việt Phát,Tiềm năng
KH-0421,Cty TNHH Thương mại Tân Á,Thân thiết
KH0288,Cty CP Thương mại Kim Long,Tiềm năng
KH-0410,DOANH NGHIEP TU NHAN THUC PHAM THANH DAT,VIP
KH-0285,Phạm Minh Phong,
KH-0269,Ngô Hữu Phong,VIP
KH-0057,Võ Kim Yến,Thường
KH-0381,Trần Quốc Việt,Mới
KH0317,Ngô Thu Anh,Thường
KH-0366,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Tiềm năng
KH-0442,Vũ Ngọc Thảo,Thường
KH-0054,NGO QUOC DUNG,Mới
KH-0353,Lý Xuân Đạt,Tiềm năng
KH-0070,Công ty TNHH MTV Xuất nhập khẩu  Minh Phát,Thường
KH-0302,Công ty TNHH Dịch vụ  Tân Á,Mới
KH-0280,Võ  Minh Nam,Thường
KH-0239,Công ty Cổ phần Thực phẩm Đông Á,VIP
KH-0195,Hoàng Hữu Đạt,Thân thiết
KH-0148,Huỳnh Công Phong,Mới
KH0013,Công ty TNHH MTV Xuất nhập khẩu Tân Phát,VIP
KH0260,Doanh nghiệp tư nhân Thương  mại Hoàng Gia,
KH-0220,Phan Minh Long,Thân thiết
KH-0239,Công ty Cổ phần Thực phẩm Đông Á,VIP
KH-0106,Hoàng Xuân Đạt,Thân thiết
KH-0096,CONG TY CO PHAN PHAN PHOI THANH DAT,Thường
KH-0278,DOANH NGHIEP TU NHAN XUAT NHAP KHAU TAN A,VIP
KH-0423,Công ty Cổ phần Xây dựng Hoàng Gia,Thường
KH-0197,Công ty TNHH Thương mại Hoàng Gia,Mới
KH-0226,Công ty TNHH Phân phối  Thiên Phú,Thân thiết
KH0256,Doanh nghiệp tư nhân Xây dựng Đại Dương,Mới
KH-0159,Công ty Cổ phần Xuất nhập khẩu Tân Phát,Tiềm năng
KH-0042,Đặng Bích Huyền,Mới
KH-0262,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Tiềm năng
KH-0249,Phạm Thị Mai,Thân thiết
KH-0083,Hoàng Quốc Việt,Tiềm năng
KH-0445,Huỳnh Bích Phương,Thân thiết
KH-0080,Bùi Công Cường,Mới
KH-0133,Doanh nghiệp tư nhân Thương mại Đại Dương,Tiềm năng
KH-0362,Doanh nghiệp tư nhân Thương mại Toàn Cầu,Mới
KH-0076,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Á,Tiềm năng
KH-0275,VU BICH NHUNG,VIP
KH-0018,Doanh nghiệp  tư nhân Xây dựng Việt Thắng,Tiềm năng
KH-0383,Doanh nghiệp tư nhân Xây dựng Minh Phát,
KH-0311,CONG TY CO PHAN XUAT NHAP KHAU TAN A,VIP
KH-0009,Dương Bích Nga,Thân thiết
KH-0368,Công ty TNHH Phân phối  Thiên Phú,Tiềm năng
KH-0358,Phan Diễm Nhung,Mới
KH-0141,Bùi  Kim Phương,VIP
KH0005,Cty TNHH Xuất nhập khẩu Toàn Cầu,Mới
KH-0058,Công ty TNHH MTV Dịch vụ Việt Thắng,Thân thiết
KH-0259,Công ty TNHH Xuất nhập khẩu Thành Đạt,Thường
KH-0371,VO DIEM HUONG,VIP
KH-0033,Trần Diễm Lan,Tiềm năng
KH-0093,Doanh nghiệp tư nhân Xuất nhập khẩu Hưng Thịnh,VIP
KH-0008,Doanh nghiệp tư nhân Xuất nhập khẩu Thành Đạt,Thường
KH-0336,Trần Minh Sơn,Mới
KH-0089,Nguyễn Quốc Sơn,Mới
KH-0227,Ngô Văn Sơn,Thân thiết
KH-0126,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Mới
KH-0357,Công ty TNHH MTV Thương mại Thiên Phú,Thân thiết
KH-0412,Công ty TNHH MTV Xuất nhập khẩu Kim Long,VIP
KH-0034,Trần Thu Trang,Thân thiết
KH-0444,Lê Quốc Sơn,Mới
KH-0376,Bùi Ngọc Khánh,Mới
KH-0371,VO DIEM HUONG,VIP
KH-0007,Doanh nghiệp tư nhân Thương mại An Khang,VIP
KH-0267,Trần Quốc Việt,Tiềm năng
KH-0102,Bùi Đức Khánh,Mới
KH-0399,Võ Thị Hoa,Thường
KH-0429,Công ty TNHH Dịch vụ Tân Phát,VIP
KH-0068,đặng minh nam,Thường
KH-0130,Công ty Cổ phần Xuất nhập khẩu Phú Gia,Thân thiết
KH-0079,Ngô Công Hùng,Tiềm năng
KH-0255,công ty tnhh thương mại tân phát,Mới
KH-0084,Công ty TNHH MTV Phân phối Việt Thắng,Mới
KH-0121,CONG TY CO PHAN THUC PHAM DAI DUONG,Thường
KH-0151,doanh nghiệp tư nhân thực phẩm kim long,VIP
KH-0264,DOANH NGHIEP TU NHAN PHAN PHOI THIEN PHU,VIP
KH-0187,Công ty Cổ phần Xuất nhập khẩu Việt Thắng,Mới
KH-0129,công ty cổ phần thực phẩm đông á,VIP
KH-0377,Vũ Bích Hương,Thường
KH-0179,TRAN QUOC SON,Tiềm năng
KH-0401,Công ty Cổ phần Dịch vụ Kim Long,Thân thiết
KH-0030,công ty tnhh xây dựng tân á,Mới
KH-0169,công ty tnhh mtv phân phối đại dương,
KH-0237,Cty TNHH MTV Phân phối Tân Á,VIP
KH-0390,Trần Ngọc Lan,Tiềm năng
KH-0044,Cty TNHH MTV Dịch vụ Kim Long,Tiềm năng
KH-0313,Công ty Cổ phần Dịch vụ Tân Phát,Mới
KH-0328,Nguyễn Minh Việt,Tiềm năng
KH-0093,Doanh nghiệp tư nhân Xuất nhập khẩu Hưng Thịnh,VIP
KH-0174,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Mới
KH-0262,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Tiềm năng
KH-0074,Phạm Xuân Sơn,Thường
KH-0324,DOANH NGHIEP TU NHAN THUC PHAM THIEN PHU,VIP
KH-0026,Công ty TNHH Thực  phẩm Đại Dương,VIP
KH-0193,Dương Ngọc Phong,Tiềm năng
KH-0165,Công ty TNHH MTV Xây dựng An Khang,Thường
KH-0065,Đỗ Thu Anh,Thường
KH0394,Phan Diễm Nhung,Thân thiết
