MaKhachHang,TenKhachHang,Vung,LoaiKhach,NgayBatDauGiaoDich,HanMucCongNo
KH0040,Công ty Cổ phần Xuất nhập khẩu Việt Phát,Miền Trung,Sỉ,16/02/2024,640000000.0
KH0041,đỗ diễm linh,Miền Nam,Lẻ,03/07/2024,5000000.0
KH0042,đặng bích huyền,Miền Trung,Lẻ,22/04/2023,7000000.0
KH0043,Doanh nghiệp tư nhân Xuất nhập  khẩu Toàn Cầu,Miền Trung,Sỉ,20/05/2024,200000000.0
KH0044,Công ty TNHH MTV Dịch vụ Kim Long,Miền Bắc,Sỉ,2023-11-16,2714000000.0
KH0045,Công ty TNHH Dịch vụ Việt Thắng,Miền Trung,Sỉ,28/07/2023,323000000.0
KH0046,Công ty Cổ phần Xuất nhập khẩu Đông Á,Miền Nam,Sỉ,23/12/2022,906000000.0
KH0047,Huỳnh Ngọc Cường,Miền Trung,Lẻ,15/12/2023,10000000.0
KH0048,Doanh nghiệp tư nhân Xây dựng Thiên Phú,Miền Nam,Sỉ,08/02/2024,452000000.0
KH0049,Công ty TNHH MTV Dịch vụ Sao Việt,Central,Sỉ,01/10/2022,1062000000.0
KH0050,Công ty TNHH MTV Thực phẩm Thành Đạt,Miền Nam,Sỉ,05/09/2022,200000000.0
KH0051,Võ Thị Lan,Miền Nam,Lẻ,16/06/2024,99000000.0
KH0052,Đỗ Công Việt,Miền Nam,Lẻ,08/08/2022,28000000.0
,Vũ Kim Nhung,Miền Nam,Lẻ,20/12/2022,61000000.0
KH0054,Ngô Quốc Dũng,Miền Nam,Lẻ,26/03/2023,20000000.0
KH0055,Doanh nghiệp tư nhân Phân phối Kim Long,Miền Trung,Sỉ,26/07/2024,1178000000.0
KH0056,Hoàng Thu Nhung,Miền Nam,Lẻ,11/08/2022,43000000.0
KH0057,Võ Kim Yến,Miền Trung,Lẻ,01/01/2024,5000000.0
KH0058,Công ty TNHH MTV Dịch vụ Việt Thắng,Miền Bắc,Sỉ,19/08/2023,247000000.0
KH0059,Hoàng Công Bình,Miền Bắc,Lẻ,25/04/2024,5000000.0
KH0060,CONG TY CO PHAN DICH VU MINH PHAT,Miền Trung,Sỉ,14/06/2024,291000000.0
KH0061,Công ty Cổ phần Xây dựng An Khang,Miền Nam,Sỉ,09/12/2023,250000000.0
KH0062,Doanh nghiệp tư nhân Dịch vụ Tân Á,Miền Trung,Sỉ,18/08/2022,609000000.0
KH0063,Công ty TNHH Xây dựng Tân Á,MB,Sỉ,28/01/2024,2336000000.0
KH0064,Phạm Quốc An,Miền Trung,Lẻ,27/09/2023,5000000.0
,Đỗ Thu Anh,Miền Trung,Lẻ,19/08/2022,5000000.0
KH0066,Nguyễn Diễm Hương,Miền Nam,Lẻ,10/05/2023,5000000.0
KH0067,doanh nghiệp tư nhân thương mại thành đạt,Miền Bắc,Sỉ,05/22/2023,200000000.0
KH0068,Đặng Minh Nam,HCM,Lẻ,29/12/2023,13000000.0
KH0069,Công ty TNHH MTV Xây dựng Phú Gia,Miền Nam,Sỉ,01/02/2023,200000000.0
KH0070,Công ty TNHH MTV Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,08/11/2022,13500000000.0
KH0071,Công ty TNHH Xuất nhập khẩu Tân Phát,Miền Trung,Sỉ,01/01/2023,2158000000.0
KH0072,Trần Diễm Anh,Miền Trung,Lẻ,2023-02-14,5000000.0
KH0073,Lê Quốc Bình,Miền Trung,Lẻ,23/01/2024,5000000.0
KH0074,Phạm Xuân Sơn,Miền Nam,Lẻ,30/07/2023,25000000.0
KH0075,Công ty Cổ phần Thực phẩm Đông Á,Miền Nam,Sỉ,12/09/2023,1434000000.0
KH0076,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Á,Miền Trung,Sỉ,19/08/2023,738000000.0
KH0077,Dương Kim Linh,Miền Trung,Lẻ,15/11/2023,12000000.0
KH0078,Công ty TNHH Thực phẩm Minh Phát,Miền Bắc,Sỉ,08/04/2023,200000000.0
KH0079,Ngô Công Hùng,Miền Nam,Lẻ,05/06/2023,5000000.0
KH0080,Bùi Công Cường,Miền Nam,Lẻ,01/06/2024,5000000.0
KH0081,Võ  Văn Long,Miền Nam,Lẻ,03/09/2022,27000000.0
KH0082,Doanh nghiệp tư nhân Phân phối Tân Phát,Miền Trung,Sỉ,21/09/2023,817000000.0
KH0083,Hoàng Quốc Việt,Miền Trung,Lẻ,23/08/2023,5000000.0
KH0084,Công ty TNHH MTV Phân phối Việt Thắng,Miền Trung,Sỉ,02/12/2023,254000000.0
KH0085,Công ty TNHH Phân phối Kim Long,Miền Bắc,Sỉ,2024-05-15,208000000.0
KH0086,Lý Công Long,Miền Trung,Lẻ,21/07/2024,7000000.0
KH0087,Trần Diễm  Hương,Miền Bắc,Lẻ,25/10/2022,15000000.0
KH0088,Lý Đức Bình,Miền Trung,Lẻ,20/10/2023,16000000.0
KH0089,Nguyễn Quốc Sơn,Miền Nam,Lẻ,07/07/2023,30000000.0
KH0090,Công ty TNHH MTV Xuất nhập khẩu Minh Phát,Miền Bắc,Sỉ,07/11/2022,247000000.0
KH0091,Doanh nghiệp tư nhân Phân phối Tân Á,Miền Trung,Sỉ,09/14/2022,200000000.0
,Đỗ Quốc Phong,Miền Trung,Lẻ,06/03/2023,20000000.0
KH0093,Doanh nghiệp tư nhân Xuất nhập khẩu Hưng Thịnh,Miền Nam,Sỉ,01/12/2023,1955000000.0
KH0094,công ty tnhh xuất nhập khẩu hoàng gia,Miền Trung,Sỉ,18/09/2022,632000000.0
KH0095,Công ty TNHH MTV Thương mại Hưng Thịnh,Miền Nam,Sỉ,02/07/2024,1196000000.0
KH0096,công ty cổ phần phân phối thành đạt,Trung,Sỉ,09/02/2024,467000000.0
KH0097,CONG TY TNHH MTV THUC PHAM PHU GIA,Miền Bắc,Sỉ,05/06/2024,397000000.0
KH0098,Ngô  Kim Phương,Miền Bắc,Lẻ,02/01/2023,10000000.0
KH0099,DNTN Dịch vụ Việt Phát,Miền Nam,Sỉ,18/08/2022,260000000.0
KH0100,Đặng Minh Bình,MT,Lẻ,25/03/2024,5000000.0
KH0101,Vũ Ngọc Khánh,Miền Nam,Lẻ,31/07/2024,5000000.0
KH0102,Bùi Đức Khánh,Miền Nam,Lẻ,19/10/2022,12000000.0
KH0103,Phan Thu Trang,Miền Trung,Lẻ,2023-01-15,5000000.0
KH0104,Doanh nghiệp tư nhân Thực phẩm Phú Gia,Miền Bắc,Sỉ,05/04/2023,403000000.0
KH0105,Doanh nghiệp tư nhân  Thương mại Hoàng Gia,Miền Bắc,Sỉ,04/09/2023,3666000000.0
KH0106,Hoàng Xuân Đạt,Miền Nam,Lẻ,07/07/2023,5000000.0
KH0107,Võ Thị Trang,M.Nam,Lẻ,23/12/2022,8000000.0
KH0108,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,27/12/2023,2595000000.0
KH0109,Phạm Bích Huyền,Miền Bắc,Lẻ,25/09/2022,5000000.0
KH0110,Vũ Thị Lan,Miền Bắc,Lẻ,23/10/2023,5000000.0
,Công ty TNHH MTV Thực phẩm Đại Dương,North,Sỉ,18/10/2022,495000000.0
,Lý Minh Bình,Miền Nam,Lẻ,12/04/2024,5000000.0
KH0113,Công ty TNHH Phân phối Kim Long,Miền Nam,Sỉ,02/04/2024,2749000000.0
KH0114,Đỗ Văn Phong,Miền Bắc,Lẻ,02/07/2023,19000000.0
,DOANH NGHIEP TU NHAN THUONG MAI KIM LONG,Miền Nam,Sỉ,12/05/2024,630000000.0
KH0116,Công ty TNHH Xuất nhập khẩu Minh Phát,M.Bắc,Sỉ,06/11/2023,2689000000.0
KH0117,Bùi Kim Yến,Miền Bắc,Lẻ,23/03/2023,14000000.0
KH0118,Công ty TNHH MTV Thực phẩm Sao Việt,Miền Bắc,Sỉ,19/02/2024,200000000.0
KH0119,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Phát,MT,Sỉ,18/10/2023,2636000000.0
KH0120,Phạm Đức Long,Miền Trung,Lẻ,28/06/2024,16000000.0
KH0121,công ty cổ phần thực phẩm đại dương,MN,Sỉ,2024-06-08,1330000000.0
,Công ty TNHH Dịch vụ Toàn Cầu,Miền Trung,Sỉ,28/10/2022,4065000000.0
KH0123,Huỳnh Bích Linh,Miền Bắc,Lẻ,31/05/2023,5000000.0
KH0124,dương quốc đạt,Miền Nam,Lẻ,01/08/2024,5000000.0
KH0125,Doanh nghiệp tư nhân Xây dựng Việt Thắng,Miền Bắc,Sỉ,25/10/2022,213000000.0
KH0126,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Miền Bắc,Sỉ,06/01/2023,872000000.0
KH0127,Võ Kim Nhung,Miền Nam,Lẻ,30/07/2024,21000000.0
KH0128,Lý Công Việt,Miền Bắc,Lẻ,06/01/2023,20000000.0
KH0129,Công ty Cổ phần Thực phẩm Đông Á,Miền Trung,Sỉ,22/06/2023,200000000.0
KH0130,Công ty Cổ phần Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,19/11/2022,731000000.0
KH0131,Công ty TNHH MTV Phân phối Tân Phát,Miền Trung,Sỉ,08/07/2022,257000000.0
KH0132,Doanh nghiệp tư nhân Xuất nhập khẩu Đại Dương,Miền Trung,Sỉ,31/10/2023,200000000.0
KH0133,Doanh nghiệp tư nhân Thương mại Đại Dương,Miền Nam,Sỉ,05/05/2023,200000000.0
KH0134,Võ Thu Hoa,Bắc,Lẻ,15/12/2022,5000000.0
KH0135,Doanh nghiệp tư nhân Thương mại Việt Thắng,Miền Trung,Sỉ,09/02/2023,5190000000.0
KH0136,Công ty TNHH Phân phối Đại Dương,Miền Trung,Sỉ,04/11/2023,371000000.0
KH0137,DOANH NGHIEP TU NHAN PHAN PHOI DAI DUONG,Miền Trung,Sỉ,21/02/2024,541000000.0
KH0138,Trần Quốc Khánh,Miền Nam,Lẻ,23/09/2023,20000000.0
KH0139,Doanh nghiệp tư nhân Phân phối Hưng Thịnh,Miền Bắc,Sỉ,28/08/2022,1038000000.0
KH0140,Dương Xuân Khánh,Miền Bắc,Lẻ,30/07/2023,128000000.0
KH0141,Bùi Kim Phương,Miền Nam,Lẻ,2022-11-05,62000000.0
KH0142,Công ty TNHH Thực phẩm Hưng Thịnh,Miền Nam,Sỉ,05/04/2024,200000000.0
KH0143,Công ty Cổ phần Phân phối Tân Á,M.Bắc,Sỉ,31/08/2023,548000000.0
KH0144,Phạm Kim Hoa,Miền Nam,Lẻ,27/05/2023,5000000.0
KH0145,Ngô Thị Nhung,Miền Nam,Lẻ,03/09/2023,5000000.0
KH0146,Lê Thị Anh,Miền Nam,Lẻ,25/02/2024,5000000.0
KH0147,Huỳnh Thu Mai,Miền Bắc,Lẻ,09/03/2024,20000000.0
KH0148,Huỳnh Công Phong,Miền Bắc,Lẻ,22/01/2023,9000000.0
KH0149,Doanh nghiệp tư nhân Thực phẩm Việt Phát,Miền Trung,Sỉ,22/01/2023,200000000.0
KH0150,Công ty Cổ phần Xây dựng Hưng Thịnh,MB,Sỉ,04/05/2023,565000000.0
KH0151,Doanh nghiệp tư nhân Thực phẩm Kim Long,Miền Bắc,Sỉ,03/05/2023,4063000000.0
KH0152,Doanh nghiệp tư nhân Thực phẩm Đại Dương,Miền Trung,Sỉ,29/12/2022,295000000.0
KH0153,Phạm Quốc Nam,Miền Trung,Lẻ,20/01/2023,5000000.0
KH0154,Công ty TNHH MTV Phân phối Thành Đạt,Miền Bắc,Sỉ,11/05/2023,351000000.0
,Doanh nghiệp tư nhân Dịch vụ Việt Phát,Miền Nam,Sỉ,04/06/2023,18877000000.0
KH0156,Công ty TNHH Xuất nhập khẩu Thiên Phú,M.Trung,Sỉ,19/10/2022,448000000.0
KH0157,Công ty TNHH MTV Phân phối Toàn Cầu,Miền Bắc,Sỉ,16/04/2023,817000000.0
KH0158,Công ty TNHH MTV Xuất nhập khẩu Tân Á,Miền Bắc,Sỉ,03/05/2024,1200000000.0
KH0159,Công ty Cổ phần Xuất nhập khẩu Tân Phát,Miền Trung,Sỉ,01/04/2024,531000000.0
KH0160,Công ty TNHH Xây dựng Đông Á,Miền Nam,Sỉ,02/18/2023,1816000000.0
KH0161,Công ty TNHH MTV Thực phẩm Tân Á,Miền Nam,Sỉ,19/11/2022,649000000.0
KH0162,Công ty TNHH MTV Thương mại Đông Á,Miền Bắc,Sỉ,09/06/2023,783000000.0
KH0163,Hoàng Văn Sơn,Miền Trung,Lẻ,11/09/2023,12000000.0
KH0164,Doanh nghiệp tư nhân Dịch vụ Kim Long,Miền Trung,Sỉ,28/04/2024,785000000.0
KH0165,Công ty TNHH MTV Xây dựng An Khang,Miền Trung,Sỉ,05/07/2023,259000000.0
KH0166,Đặng Đức Tuấn,HCM,Lẻ,10/07/2023,11000000.0
,Trần Diễm Anh,Miền Nam,Lẻ,29/05/2024,5000000.0
,Công ty TNHH MTV Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,19/12/2022,216000000.0
KH0169,Công ty TNHH MTV Phân phối Đại Dương,Miền Trung,Sỉ,06/26/2023,260000000.0
KH0170,Trần Thu Yến,Miền Bắc,Lẻ,13/07/2024,6000000.0
KH0171,Doanh nghiệp tư nhân Xây dựng An Khang,Miền Nam,Sỉ,05/12/2023,1676000000.0
KH0172,Lê Thu Phương,Miền Trung,Lẻ,30/01/2023,5000000.0
KH0173,Võ Ngọc Linh,Miền Trung,Lẻ,24/06/2023,19000000.0
KH0174,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Miền Bắc,Sỉ,2024-07-13,200000000.0
KH0175,Công ty TNHH Xuất nhập khẩu Hưng Thịnh,Miền Bắc,Sỉ,17/12/2023,995000000.0
KH0176,Công ty Cổ phần Xây dựng Đông Á,Miền Trung,Sỉ,07/04/2023,200000000.0
KH0177,Dương Thu Hoa,Miền Bắc,Lẻ,22/08/2023,10000000.0
KH0178,Ngô  Quốc Phong,Miền Nam,Lẻ,08/09/2023,5000000.0
KH0179,Trần Quốc Sơn,Miền Trung,Lẻ,11/26/2022,54000000.0
KH0180,Phan Thu Hoa,Miền Nam,Lẻ,22/02/2023,5000000.0
KH0181,Bùi Văn Sơn,Miền Trung,Lẻ,11/02/2024,5000000.0
KH0182,Công ty TNHH MTV Thực phẩm Kim Long,Miền Nam,Sỉ,30/06/2024,200000000.0
KH0183,Công ty TNHH Phân phối Việt Thắng,Miền Bắc,Sỉ,29/08/2022,4911000000.0
KH0184,Công ty TNHH MTV Phân phối Toàn Cầu,Miền Bắc,Sỉ,27/07/2024,1730000000.0
KH0185,Trần Văn Hùng,Miền Nam,Lẻ,24/10/2023,5000000.0
,Vũ Công Phong,Miền Trung,Lẻ,11/07/2024,15000000.0
KH0187,Công ty Cổ phần Xuất nhập  khẩu Việt Thắng,Miền Trung,Sỉ,24/09/2023,1844000000.0
KH0188,Công ty TNHH MTV Phân phối Toàn Cầu,Miền Nam,Sỉ,22/12/2022,475000000.0
KH0189,Công ty Cổ phần Xuất nhập khẩu Minh Phát,Miền Nam,Sỉ,08/06/2023,928000000.0
KH0190,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Miền Bắc,Sỉ,17/04/2023,434000000.0
KH0191,Hoàng  Ngọc Dũng,Miền Bắc,Lẻ,06/01/2023,5000000.0
KH0192,Doanh nghiệp tư nhân Xuất nhập khẩu Kim Long,Miền Nam,Sỉ,23/08/2023,3718000000.0
KH0193,Dương Ngọc Phong,Miền Nam,Lẻ,04/11/2023,29000000.0
KH0194,Công ty TNHH MTV Thương mại Đông Á,Miền Trung,Sỉ,12/05/2023,1228000000.0
KH0195,Hoàng Hữu Đạt,Trung,Lẻ,2023-09-16,5000000.0
KH0196,Dương Công Tuấn,MN,Lẻ,02/01/2024,5000000.0
KH0197,Công ty TNHH Thương mại Hoàng Gia,Trung,Sỉ,09/02/2024,1456000000.0
KH0198,Công ty Cổ  phần Xây dựng An Khang,Miền Bắc,Sỉ,05/08/2023,3231000000.0
KH0199,Trần Bích Lan,Miền Trung,Lẻ,01/04/2024,44000000.0
KH0200,CONG TY CO PHAN XAY DUNG HOANG GIA,Miền Nam,Sỉ,28/10/2022,1781000000.0
KH0201,Công ty Cổ phần Thực phẩm Thành Đạt,Miền Bắc,Sỉ,13/04/2023,1078000000.0
KH0202,Công ty TNHH MTV Xây dựng Đại Dương,North,Sỉ,12/06/2024,200000000.0
KH0203,Công ty TNHH MTV Xây dựng Minh Phát,Miền Bắc,Sỉ,19/01/2023,200000000.0
KH0204,Công ty TNHH Xây dựng Thành Đạt,Central,Sỉ,20/04/2024,2917000000.0
KH0205,Công ty TNHH MTV Xây dựng Hoàng Gia,Miền Trung,Sỉ,29/02/2024,429000000.0
KH0206,Nguyễn Văn  Cường,Miền Bắc,Lẻ,25/06/2024,5000000.0
KH0207,Đỗ Hữu Việt,Miền Bắc,Lẻ,15/09/2023,5000000.0
KH0208,Trần Ngọc Phong,Miền Trung,Lẻ,16/10/2023,8000000.0
KH0209,Công ty TNHH Xuất nhập khẩu Kim Long,Miền Trung,Sỉ,12/08/2022,200000000.0
KH0210,Đặng Quốc Nam,Miền Bắc,Lẻ,23/04/2023,5000000.0
KH0211,Công ty TNHH Thương mại Tân Phát,Miền Trung,Sỉ,06/01/2024,828000000.0
KH0212,Doanh nghiệp tư nhân Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,24/02/2024,877000000.0
KH0213,VU KIM HOA,Miền Trung,Lẻ,06/07/2024,9000000.0
KH0214,Công ty TNHH Dịch vụ Đại Dương,Miền Trung,Sỉ,16/03/2023,314000000.0
KH0215,Trần Ngọc  Long,Miền Nam,Lẻ,20/08/2023,17000000.0
KH0216,Đặng Kim Phương,MN,Lẻ,19/11/2023,8000000.0
KH0217,Đặng Hữu Đạt,Miền Nam,Lẻ,09/07/2024,5000000.0
KH0218,Bùi Bích Yến,Miền Bắc,Lẻ,03/01/2023,17000000.0
,DUONG MINH DUNG,Miền Trung,Lẻ,27/08/2022,7000000.0
KH0220,Phan Minh Long,Miền Nam,Lẻ,17/11/2022,37000000.0
KH0221,Doanh nghiệp tư nhân Phân phối Minh Phát,Miền Trung,Sỉ,01/10/2023,596000000.0
KH0222,Công ty TNHH MTV Xuất nhập khẩu Hoàng Gia,Miền Nam,Sỉ,28/11/2022,1514000000.0
KH0223,Bùi Đức Tuấn,Miền Bắc,Lẻ,24/07/2023,5000000.0
KH0224,Doanh nghiệp tư nhân Thương mại Hưng Thịnh,Miền Bắc,Sỉ,19/07/2023,463000000.0
KH0225,công ty tnhh thương mại toàn cầu,Miền Nam,Sỉ,01/03/2023,200000000.0
KH0226,Công ty TNHH Phân phối Thiên Phú,Miền Bắc,Sỉ,09/12/2023,200000000.0
KH0227,Ngô Văn Sơn,Miền Trung,Lẻ,02/12/2023,118000000.0
KH0228,công ty tnhh mtv phân phối minh phát,Miền Trung,Sỉ,24/10/2023,527000000.0
KH0229,Doanh nghiệp tư nhân Dịch vụ Toàn Cầu,Miền Bắc,Sỉ,24/06/2023,3442000000.0
KH0230,DUONG THI LINH,Miền Trung,Lẻ,05/06/2023,5000000.0
KH0231,Công ty TNHH MTV Dịch vụ Minh Phát,Miền Nam,Sỉ,29/07/2024,1471000000.0
KH0232,CONG TY CO PHAN XAY DUNG TAN PHAT,Miền Nam,Sỉ,25/08/2022,632000000.0
KH0233,Công ty Cổ phần Thương mại Thiên Phú,Miền Nam,Sỉ,26/05/2024,650000000.0
KH0234,Công ty TNHH MTV Thương mại Sao Việt,Miền Trung,Sỉ,25/06/2024,538000000.0
KH0235,Công ty Cổ phần Xuất nhập khẩu Thành Đạt,Miền Nam,Sỉ,08/04/2023,200000000.0
KH0236,Cty TNHH MTV Thương mại Việt Phát,Miền Bắc,Sỉ,27/01/2023,1372000000.0
KH0237,Công ty TNHH MTV Phân phối Tân Á,Miền Nam,Sỉ,12/01/2023,282000000.0
KH0238,Lý Văn Cường,Miền Trung,Lẻ,26/02/2024,5000000.0
KH0239,Công ty Cổ phần Thực phẩm Đông Á,Miền Trung,Sỉ,18/11/2023,1151000000.0
KH0240,Công ty TNHH Xây dựng Thành Đạt,Miền Nam,Sỉ,20/09/2023,226000000.0
KH0241,công ty tnhh phân phối an khang,M.Bắc,Sỉ,06/02/2023,3114000000.0
KH0242,Doanh nghiệp tư nhân Xuất nhập khẩu Việt Thắng,Miền Bắc,Sỉ,18/05/2024,8120000000.0
KH0243,Huỳnh Quốc Việt,Miền Bắc,Lẻ,18/10/2023,56000000.0
KH0244,Huỳnh Bích Thảo,Miền Trung,Lẻ,31/08/2022,7000000.0
KH0245,Trần Ngọc Hương,M.Bắc,Lẻ,20/02/2023,5000000.0
KH0246,Công ty TNHH Phân phối Hưng Thịnh,Miền Trung,Sỉ,30/03/2024,4419000000.0
KH0247,Hoàng Xuân Nam,Miền Nam,Lẻ,04/09/2023,8000000.0
KH0248,Doanh nghiệp tư nhân Xuất nhập khẩu Sao Việt,Miền Nam,Sỉ,23/07/2024,7673000000.0
KH0249,phạm thị mai,Miền Trung,Lẻ,02/28/2023,50000000.0
KH0250,Phan Minh Phong,Miền Trung,Lẻ,22/07/2024,20000000.0
KH0251,Công ty TNHH MTV Thương mại Kim Long,Miền Nam,Sỉ,15/03/2024,269000000.0
KH0252,Phan Thị Anh,Miền Nam,Lẻ,02/02/2024,5000000.0
,Phạm Công Hải,Miền Trung,Lẻ,11/08/2023,27000000.0
,Lê Thu Mai,Miền Nam,Lẻ,19/02/2023,8000000.0
KH0255,CONG TY TNHH THUONG MAI TAN PHAT,Miền Nam,Sỉ,26/11/2022,353000000.0
,Doanh nghiệp tư nhân Xây dựng Đại Dương,Miền Bắc,Sỉ,18/06/2024,598000000.0
KH0257,Phan Ngọc Phương,Miền Bắc,Lẻ,24/01/2024,61000000.0
KH0258,Công ty TNHH MTV  Thương mại Đông Á,Miền Nam,Sỉ,18/06/2023,827000000.0
KH0259,Công ty TNHH Xuất nhập khẩu Thành Đạt,Miền Nam,Sỉ,03/09/2023,840000000.0
KH0260,Doanh nghiệp tư nhân Thương mại Hoàng Gia,Miền Bắc,Sỉ,07/09/2023,211000000.0
KH0261,Đặng Xuân Việt,Miền Nam,Lẻ,26/11/2022,15000000.0
KH0262,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Miền Trung,Sỉ,28/07/2023,23636000000.0
KH0263,Phan Ngọc Cường,Miền Nam,Lẻ,25/04/2024,5000000.0
KH0264,Doanh nghiệp tư nhân Phân phối Thiên Phú,Miền Nam,Sỉ,21/06/2024,564000000.0
KH0265,Công ty TNHH Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,22/04/2024,2368000000.0
KH0266,Phạm Xuân  Phong,Miền Bắc,Lẻ,27/10/2022,13000000.0
KH0267,Trần Quốc Việt,Miền Nam,Lẻ,18/06/2023,14000000.0
KH0268,Công ty TNHH MTV Xây dựng Hoàng Gia,Miền Bắc,Sỉ,03/04/2023,2355000000.0
KH0269,Ngô Hữu Phong,Miền Bắc,Lẻ,29/11/2022,5000000.0
KH0270,Võ Ngọc Khánh,Miền Nam,Lẻ,19/08/2023,5000000.0
KH0271,Công ty Cổ phần Xây dựng Minh Phát,Miền Nam,Sỉ,07/01/2024,1613000000.0
KH0272,Lê Đức Sơn,Miền Bắc,Lẻ,04/10/2023,14000000.0
KH0273,Công ty Cổ phần Phân phối Hưng Thịnh,Miền Nam,Sỉ,21/12/2022,2274000000.0
KH0274,Công ty Cổ phần Phân phối Tân Phát,SG,Sỉ,29/08/2023,2765000000.0
KH0275,Vũ Bích Nhung,Miền Bắc,Lẻ,08/02/2023,11000000.0
KH0276,Công ty TNHH MTV Phân phối Hoàng Gia,Miền Bắc,Sỉ,13/05/2024,750000000.0
